Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_014.jpg;0;0;0;0;99.66998;85.589;0.0002385916;322.2831;-1.222069E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_080.jpg;0;0;0;0;99.66998;85.589;0.0002384776;322.2831;-1.938839E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_147.jpg;0;0;0;0;99.66998;85.589;0.0002380074;322.2831;-2.896891E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_214.jpg;0;0;0;0;99.66998;85.589;0.0002374396;322.2831;-3.569289E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_280.jpg;0;0;0;0;99.66998;85.589;0.0002369189;322.2831;-4.145882E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_338.jpg;0;0;0;0;99.66998;85.589;0.0002368989;322.2831;-4.671048E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_404.jpg;0;0;0;0;99.66998;85.589;0.0002366167;322.2831;-5.245876E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_481.jpg;0;0;0;0;99.66998;85.589;0.0002366908;322.2831;-5.579427E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_539.jpg;0;0;0;0;99.66998;85.589;0.0002363346;322.2831;-5.820704E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_580.jpg;0;0;0;0;99.66998;85.589;0.0002362876;322.2831;-5.916509E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_647.jpg;0;0;0;0;99.66998;85.589;0.0002362406;322.2831;-6.012313E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_713.jpg;0;0;0;0;99.66998;85.589;0.0002364792;322.2831;-6.010548E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_780.jpg;0;0;0;0;99.66998;85.589;0.0002363111;322.2831;-5.868606E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_847.jpg;-3.017389;0;0;0;99.66998;85.589;0.0002365618;321.7415;-3.063409E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_914.jpg;-6.008942;0;0;0;99.66998;85.589;0.0002354487;320.7499;2.327476E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_29_980.jpg;-9.024882;0;0;0;99.66998;85.589;0.0002347023;319.3048;8.124306E-06
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_046.jpg;-12.00263;0;0;0;99.66998;85.589;0.000232607;316.6015;1.613489E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_114.jpg;-15;0;0;0;99.66998;85.589;0.0002303708;313.9919;2.578356E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_180.jpg;-15;0;0;0;99.66998;85.589;0.0002266958;311.292;3.291792E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_247.jpg;-15;0;0;0;99.66998;85.589;0.0002246249;307.692;4.094628E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_305.jpg;-15;0;0;0;99.66998;85.589;0.0002248619;304.992;4.633201E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_370.jpg;-15;0;0;0;99.66998;85.589;0.0002254708;302.2921;4.849548E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_438.jpg;-15;0;0;0;99.66998;85.589;0.0002257785;299.5921;5.074525E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_508.jpg;-15;0;0;0;99.66998;85.589;0.0002273066;295.9921;5.189063E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_580.jpg;-15;0;0;0;99.66998;85.589;0.0002291506;293.2921;4.915382E-05
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_646.jpg;-13.48161;0.1012259;0;0;99.66994;85.5889;0.00224028;291.5167;-0.001796449
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_713.jpg;-10.51773;0.2988181;0;0.01197645;99.67033;85.58785;0.02546985;291.5401;-0.002229732
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_779.jpg;-7.512807;0.4991462;0;0.03455594;99.6711;85.58545;0.07677541;291.4026;-0.005139367
/home/fluke/sandbox/udacity/robo_nd/RoboND-Rover-Project/my_dataset/IMG/robocam_2017_12_06_22_14_30_846.jpg;-4.532905;0.6978064;0;0.05658127;99.67361;85.57809;0.2321561;291.2437;359.9889
